brand,n_reviews,mean_tokens,median_tokens,mean_compound
H&M,1662,99.96510228640193,77.0,-0.376315944645006
ZARA,870,122.46666666666667,94.0,-0.45451850574712643
SHEIN,1017,70.91642084562439,54.0,-0.3772924287118977
Urban Outfitters,1009,44.98315163528246,32.0,-0.2540177403369673
