brand,reviewer_rating,n_reviews
H&M,1,1462
H&M,2,112
H&M,3,88
ZARA,1,770
ZARA,2,58
ZARA,3,42
SHEIN,1,1013
SHEIN,2,2
SHEIN,3,2
Urban Outfitters,1,1006
Urban Outfitters,2,2
Urban Outfitters,3,1
