brand,review_month,mean_compound,n_reviews
ZARA,2016-10-01,-0.55242,5
ZARA,2016-11-01,0.7872,1
ZARA,2016-12-01,-0.5822,4
ZARA,2017-01-01,-0.3215333333333334,3
ZARA,2017-02-01,-0.17915000000000003,2
ZARA,2017-03-01,-0.8165333333333332,3
ZARA,2017-04-01,-0.38885,6
ZARA,2017-05-01,-0.8647,2
ZARA,2017-06-01,-0.391325,8
ZARA,2017-07-01,-0.6620363636363636,11
ZARA,2017-08-01,-0.0623888888888889,9
ZARA,2017-09-01,-0.3861636363636363,11
ZARA,2017-10-01,-0.4071263157894737,19
ZARA,2017-11-01,-0.5885695652173913,23
ZARA,2017-12-01,-0.3705475,40
ZARA,2018-01-01,-0.46501489361702125,47
ZARA,2018-02-01,-0.2942047619047619,21
ZARA,2018-03-01,-0.5447222222222222,18
ZARA,2018-04-01,-0.39278,15
ZARA,2018-05-01,-0.10416249999999999,8
ZARA,2018-06-01,-0.415855,20
ZARA,2018-07-01,-0.45096428571428576,28
ZARA,2018-08-01,-0.4657925925925926,27
ZARA,2018-09-01,-0.3727095238095238,21
ZARA,2018-10-01,-0.5059485714285715,35
ZARA,2018-11-01,-0.38236896551724137,29
ZARA,2018-12-01,-0.6462565217391305,46
ZARA,2019-01-01,-0.537422033898305,59
ZARA,2019-02-01,-0.4434862068965517,29
ZARA,2019-03-01,-0.2774944444444445,18
ZARA,2019-04-01,-0.4583424242424242,33
ZARA,2019-05-01,-0.2793,30
ZARA,2019-06-01,-0.42976,25
ZARA,2019-07-01,-0.2711904761904762,42
ZARA,2019-08-01,-0.5986147058823529,34
ZARA,2019-09-01,-0.5422571428571429,35
ZARA,2019-10-01,-0.557095,40
ZARA,2019-11-01,,0
ZARA,2019-12-01,,0
ZARA,2020-01-01,,0
ZARA,2020-02-01,,0
ZARA,2020-03-01,,0
ZARA,2020-04-01,,0
ZARA,2020-05-01,,0
ZARA,2020-06-01,,0
ZARA,2020-07-01,,0
ZARA,2020-08-01,,0
ZARA,2020-09-01,,0
ZARA,2020-10-01,,0
ZARA,2020-11-01,,0
ZARA,2020-12-01,,0
ZARA,2021-01-01,,0
ZARA,2021-02-01,,0
ZARA,2021-03-01,,0
ZARA,2021-04-01,,0
ZARA,2021-05-01,,0
ZARA,2021-06-01,,0
ZARA,2021-07-01,,0
ZARA,2021-08-01,,0
ZARA,2021-09-01,,0
ZARA,2022-12-01,,0
ZARA,2023-01-01,,0
ZARA,2023-06-01,,0
ZARA,2023-07-01,,0
ZARA,2023-08-01,,0
ZARA,2023-09-01,,0
ZARA,2023-10-01,,0
ZARA,2023-11-01,,0
ZARA,2023-12-01,,0
ZARA,2024-01-01,-0.553457894736842,19
ZARA,2024-02-01,,0
ZARA,2024-03-01,,0
ZARA,2024-04-01,,0
ZARA,2024-05-01,-0.653678947368421,19
SHEIN,2011-01-01,,0
SHEIN,2012-01-01,,0
SHEIN,2012-03-01,,0
SHEIN,2012-04-01,,0
SHEIN,2012-12-01,,0
SHEIN,2013-01-01,,0
SHEIN,2013-03-01,,0
SHEIN,2013-04-01,,0
SHEIN,2013-05-01,,0
SHEIN,2013-08-01,,0
SHEIN,2013-11-01,,0
SHEIN,2013-12-01,,0
SHEIN,2014-01-01,,0
SHEIN,2014-03-01,,0
SHEIN,2014-04-01,,0
SHEIN,2014-06-01,,0
SHEIN,2014-07-01,,0
SHEIN,2014-09-01,,0
SHEIN,2014-10-01,,0
SHEIN,2015-01-01,,0
SHEIN,2015-03-01,,0
SHEIN,2015-06-01,,0
SHEIN,2015-08-01,,0
SHEIN,2015-09-01,,0
SHEIN,2015-10-01,,0
SHEIN,2015-11-01,,0
SHEIN,2015-12-01,,0
SHEIN,2016-01-01,,0
SHEIN,2016-03-01,,0
SHEIN,2016-04-01,,0
SHEIN,2016-05-01,,0
SHEIN,2016-06-01,,0
SHEIN,2016-07-01,,0
SHEIN,2016-08-01,,0
SHEIN,2016-09-01,,0
SHEIN,2016-10-01,,0
SHEIN,2016-11-01,,0
SHEIN,2016-12-01,,0
SHEIN,2017-01-01,,0
SHEIN,2017-02-01,,0
SHEIN,2017-03-01,,0
SHEIN,2017-04-01,,0
SHEIN,2017-05-01,,0
SHEIN,2017-06-01,,0
SHEIN,2017-07-01,,0
SHEIN,2017-08-01,,0
SHEIN,2017-09-01,,0
SHEIN,2017-10-01,,0
SHEIN,2017-11-01,,0
SHEIN,2017-12-01,,0
SHEIN,2018-01-01,,0
SHEIN,2018-02-01,,0
SHEIN,2018-03-01,,0
SHEIN,2018-04-01,,0
SHEIN,2018-05-01,,0
SHEIN,2018-06-01,,0
SHEIN,2018-07-01,,0
SHEIN,2018-08-01,,0
SHEIN,2018-09-01,,0
SHEIN,2018-10-01,,0
SHEIN,2018-11-01,,0
SHEIN,2018-12-01,,0
SHEIN,2019-01-01,,0
SHEIN,2019-02-01,,0
SHEIN,2019-03-01,,0
SHEIN,2019-04-01,,0
SHEIN,2019-05-01,,0
SHEIN,2019-06-01,,0
SHEIN,2019-07-01,,0
SHEIN,2019-08-01,,0
SHEIN,2019-09-01,,0
SHEIN,2019-10-01,,0
SHEIN,2019-11-01,,0
SHEIN,2019-12-01,,0
SHEIN,2020-01-01,,0
SHEIN,2020-02-01,,0
SHEIN,2020-03-01,,0
SHEIN,2020-04-01,,0
SHEIN,2020-05-01,,0
SHEIN,2020-06-01,,0
SHEIN,2020-07-01,,0
SHEIN,2020-08-01,,0
SHEIN,2020-09-01,,0
SHEIN,2020-10-01,,0
SHEIN,2020-11-01,,0
SHEIN,2020-12-01,,0
SHEIN,2021-01-01,,0
SHEIN,2021-02-01,,0
SHEIN,2021-03-01,,0
SHEIN,2021-04-01,,0
SHEIN,2021-05-01,,0
SHEIN,2021-06-01,,0
SHEIN,2021-07-01,,0
SHEIN,2021-08-01,,0
SHEIN,2021-09-01,,0
SHEIN,2022-12-01,,0
SHEIN,2023-01-01,,0
SHEIN,2023-06-01,-0.40453475177304965,141
SHEIN,2023-07-01,-0.4666019900497513,201
SHEIN,2023-08-01,-0.4016075,120
SHEIN,2023-09-01,-0.362136923076923,130
SHEIN,2023-10-01,-0.3792408759124088,137
SHEIN,2023-11-01,-0.30168100558659217,179
SHEIN,2023-12-01,-0.3347527777777778,72
SHEIN,2024-01-01,,0
SHEIN,2024-02-01,-0.2705941176470588,17
SHEIN,2024-03-01,,0
SHEIN,2024-04-01,,0
SHEIN,2024-05-01,-0.147505,20
Urban Outfitters,2011-01-01,,0
Urban Outfitters,2012-01-01,,0
Urban Outfitters,2012-03-01,,0
Urban Outfitters,2012-04-01,,0
Urban Outfitters,2012-12-01,,0
Urban Outfitters,2013-01-01,,0
Urban Outfitters,2013-03-01,,0
Urban Outfitters,2013-04-01,,0
Urban Outfitters,2013-05-01,,0
Urban Outfitters,2013-08-01,,0
Urban Outfitters,2013-11-01,,0
Urban Outfitters,2013-12-01,,0
Urban Outfitters,2014-01-01,,0
Urban Outfitters,2014-03-01,,0
Urban Outfitters,2014-04-01,,0
Urban Outfitters,2014-06-01,,0
Urban Outfitters,2014-07-01,,0
Urban Outfitters,2014-09-01,,0
Urban Outfitters,2014-10-01,,0
Urban Outfitters,2015-01-01,,0
Urban Outfitters,2015-03-01,,0
Urban Outfitters,2015-06-01,,0
Urban Outfitters,2015-08-01,,0
Urban Outfitters,2015-09-01,,0
Urban Outfitters,2015-10-01,,0
Urban Outfitters,2015-11-01,,0
Urban Outfitters,2015-12-01,,0
Urban Outfitters,2016-01-01,,0
Urban Outfitters,2016-03-01,,0
Urban Outfitters,2016-04-01,,0
Urban Outfitters,2016-05-01,,0
Urban Outfitters,2016-06-01,,0
Urban Outfitters,2016-07-01,,0
Urban Outfitters,2016-08-01,,0
Urban Outfitters,2016-09-01,,0
Urban Outfitters,2016-10-01,,0
Urban Outfitters,2016-11-01,,0
Urban Outfitters,2016-12-01,,0
Urban Outfitters,2017-01-01,,0
Urban Outfitters,2017-02-01,,0
Urban Outfitters,2017-03-01,,0
Urban Outfitters,2017-04-01,,0
Urban Outfitters,2017-05-01,,0
Urban Outfitters,2017-06-01,,0
Urban Outfitters,2017-07-01,,0
Urban Outfitters,2017-08-01,,0
Urban Outfitters,2017-09-01,,0
Urban Outfitters,2017-10-01,,0
Urban Outfitters,2017-11-01,,0
Urban Outfitters,2017-12-01,,0
Urban Outfitters,2018-01-01,,0
Urban Outfitters,2018-02-01,,0
Urban Outfitters,2018-03-01,,0
Urban Outfitters,2018-04-01,,0
Urban Outfitters,2018-05-01,,0
Urban Outfitters,2018-06-01,,0
Urban Outfitters,2018-07-01,,0
Urban Outfitters,2018-08-01,,0
Urban Outfitters,2018-09-01,,0
Urban Outfitters,2018-10-01,,0
Urban Outfitters,2018-11-01,,0
Urban Outfitters,2018-12-01,,0
Urban Outfitters,2019-01-01,,0
Urban Outfitters,2019-02-01,,0
Urban Outfitters,2019-03-01,,0
Urban Outfitters,2019-04-01,,0
Urban Outfitters,2019-05-01,,0
Urban Outfitters,2019-06-01,,0
Urban Outfitters,2019-07-01,,0
Urban Outfitters,2019-08-01,,0
Urban Outfitters,2019-09-01,,0
Urban Outfitters,2019-10-01,,0
Urban Outfitters,2019-11-01,,0
Urban Outfitters,2019-12-01,,0
Urban Outfitters,2020-01-01,,0
Urban Outfitters,2020-02-01,,0
Urban Outfitters,2020-03-01,,0
Urban Outfitters,2020-04-01,,0
Urban Outfitters,2020-05-01,,0
Urban Outfitters,2020-06-01,,0
Urban Outfitters,2020-07-01,,0
Urban Outfitters,2020-08-01,,0
Urban Outfitters,2020-09-01,,0
Urban Outfitters,2020-10-01,,0
Urban Outfitters,2020-11-01,,0
Urban Outfitters,2020-12-01,,0
Urban Outfitters,2021-01-01,,0
Urban Outfitters,2021-02-01,,0
Urban Outfitters,2021-03-01,,0
Urban Outfitters,2021-04-01,,0
Urban Outfitters,2021-05-01,,0
Urban Outfitters,2021-06-01,,0
Urban Outfitters,2021-07-01,,0
Urban Outfitters,2021-08-01,,0
Urban Outfitters,2021-09-01,,0
Urban Outfitters,2022-12-01,,0
Urban Outfitters,2023-01-01,,0
Urban Outfitters,2023-06-01,,0
Urban Outfitters,2023-07-01,,0
Urban Outfitters,2023-08-01,,0
Urban Outfitters,2023-09-01,,0
Urban Outfitters,2023-10-01,,0
Urban Outfitters,2023-11-01,,0
Urban Outfitters,2023-12-01,-0.2313929752066116,484
Urban Outfitters,2024-01-01,-0.27708307210031347,319
Urban Outfitters,2024-02-01,-0.33444625,160
Urban Outfitters,2024-03-01,-0.16049666666666665,30
Urban Outfitters,2024-04-01,0.044000000000000004,3
Urban Outfitters,2024-05-01,0.17493076923076925,13
