topic_id,topic_label,rank,term,weight,publication_label
6,card | gift | credit,7,christma,0.033492061628090375,Gift Card & Store Credit Issues
6,card | gift | credit,8,receive,0.032508094907899215,Gift Card & Store Credit Issues
6,card | gift | credit,9,cancel,0.03239066541716938,Gift Card & Store Credit Issues
6,card | gift | credit,10,customer,0.030128596466843748,Gift Card & Store Credit Issues
7,wrong | sent | item,1,wrong,0.30149212902804695,wrong | sent | item
7,wrong | sent | item,2,sent,0.1726154075431318,wrong | sent | item
7,wrong | sent | item,3,item,0.10699704546402264,wrong | sent | item
7,wrong | sent | item,4,size,0.09283792153696777,wrong | sent | item
7,wrong | sent | item,5,order,0.0572380558662098,wrong | sent | item
7,wrong | sent | item,6,receive,0.0449857004771469,wrong | sent | item
7,wrong | sent | item,7,complet,0.036985352082691464,wrong | sent | item
7,wrong | sent | item,8,refund,0.036764738895240026,wrong | sent | item
7,wrong | sent | item,9,customer,0.028928715927798384,wrong | sent | item
7,wrong | sent | item,10,service,0.028716346917317895,wrong | sent | item
8,cancel | order | item,1,cancel,0.3681640277234167,cancel | order | item
8,cancel | order | item,2,order,0.16273818765443804,cancel | order | item
8,cancel | order | item,3,item,0.05324211892228727,cancel | order | item
8,cancel | order | item,4,customer,0.03945305682292065,cancel | order | item
8,cancel | order | item,5,service,0.03827334952691223,cancel | order | item
8,cancel | order | item,6,place,0.02814485321923324,cancel | order | item
8,cancel | order | item,7,avail,0.027797642316674004,cancel | order | item
8,cancel | order | item,8,didnt,0.02671701560019701,cancel | order | item
8,cancel | order | item,9,week,0.02638920098857927,cancel | order | item
8,cancel | order | item,10,disappoint,0.026141486933450656,cancel | order | item
9,onlin | shop | order,1,onlin,0.2032597912112124,onlin | shop | order
9,onlin | shop | order,2,shop,0.09629347738208027,onlin | shop | order
9,onlin | shop | order,3,order,0.09310160466520474,onlin | shop | order
9,onlin | shop | order,4,service,0.0419577977032971,onlin | shop | order
9,onlin | shop | order,5,store,0.03761315083389484,onlin | shop | order
9,onlin | shop | order,6,delivery,0.03393310432661517,onlin | shop | order
9,onlin | shop | order,7,shipping,0.03296221936375387,onlin | shop | order
9,onlin | shop | order,8,wait,0.029066242965889146,onlin | shop | order
9,onlin | shop | order,9,week,0.028633646671915113,onlin | shop | order
9,onlin | shop | order,10,took,0.02694251737530149,onlin | shop | order
10,dress | came | return,1,dress,0.2903268258665877,dress | came | return
10,dress | came | return,2,came,0.07549969905888994,dress | came | return
10,dress | came | return,3,return,0.046342809543362826,dress | came | return
10,dress | came | return,4,order,0.04092861500167557,dress | came | return
10,dress | came | return,5,refund,0.033326848633349886,dress | came | return
10,dress | came | return,6,bought,0.0314171502936363,dress | came | return
10,dress | came | return,7,customer,0.030995794731975,dress | came | return
10,dress | came | return,8,sent,0.026385459513023013,dress | came | return
10,dress | came | return,9,come,0.025905747926880208,dress | came | return
10,dress | came | return,10,service,0.02556736771296455,dress | came | return
